DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
1/1/2014,86782.46773,87986.31821,-1.38720471000
1/1/2015,112161.41960,122170.43170,-8.92375661400
1/1/2016,111650.23980,121448.28380,-8.77565871600
1/10/2014,594438.28080,639306.56880,-7.54801456300
1/10/2015,402312.33320,459285.80450,-14.16150254400
1/10/2016,208489.09030,201416.83760,3.39214521500
1/11/2014,247453.10220,242638.80120,1.94554077400
1/11/2015,274814.77810,287978.17490,-4.78991591800
1/11/2016,126954.17020,110698.74290,12.80416962600
1/12/2014,105100.66760,97257.39467,7.46262902900
1/12/2015,262394.78000,285838.55680,-8.93454389600
1/2/2014,181209.12850,178435.71530,1.53050413200
1/2/2015,171469.93050,174652.45800,-1.85602658800
1/2/2016,339004.33690,371177.18690,-9.49039481200
1/3/2014,846678.38820,872081.58500,-3.00033603700
1/3/2015,256701.54270,276569.25040,-7.73961367400
1/3/2016,180828.67410,182962.33700,-1.17993615300
1/4/2014,244535.20520,239700.68480,1.97702428800
1/4/2015,498894.34390,542483.83580,-8.73721909900
1/4/2016,232410.19800,245358.63000,-5.57136997900
1/5/2014,180294.26870,175656.65040,2.57224943100
1/5/2015,499703.41470,526206.93720,-5.30385058800
1/5/2016,354856.04490,380511.15920,-7.22972446700
1/6/2014,456017.46310,473223.98070,-3.77321462300
1/6/2015,440905.99870,474967.32760,-7.72530403300
1/6/2016,368789.57260,391923.65960,-6.27297752400
1/7/2014,180183.03140,173842.92090,3.51870564700
1/7/2015,305231.90810,324248.84150,-6.23032287800
1/7/2016,479010.15670,517742.19260,-8.08584856900
1/8/2014,611894.67320,636341.31590,-3.99523705200
1/8/2015,173306.90650,178699.97590,-3.11186063400
1/8/2016,65133.96620,55946.05656,14.10617251800
1/9/2014,594953.63490,662850.99080,-11.41220961000
1/9/2015,384806.77160,418101.59750,-8.65234927200
1/9/2016,313491.73510,333030.87570,-6.23274504900
10/1/2014,144829.95670,141333.99630,2.41383791000
10/1/2015,120807.57420,123392.80410,-2.13995680100
10/1/2016,90773.65306,84299.28824,7.13242730900
10/10/2014,179841.43180,170757.58120,5.05103329600
10/10/2015,119755.01160,116003.68690,3.13249913300
10/10/2016,50934.98319,44983.77730,11.68392628700
10/11/2014,76103.29152,73967.60569,2.80629889600
10/11/2015,131436.19790,143823.38640,-9.42448784900
10/11/2016,71529.16264,67551.25097,5.56124456500
10/12/2014,161844.80940,169348.51860,-4.63636073800
10/12/2015,133183.69370,137725.87610,-3.41046435500
10/2/2014,147727.51620,154828.68460,-4.80693684100
10/2/2015,138667.41590,148522.84900,-7.10724508400
10/2/2016,76661.25003,66379.56360,13.41184291400
10/3/2014,286230.67890,297642.89140,-3.98706824300
10/3/2015,62499.79917,62073.87265,0.68148462200
10/3/2016,37453.00618,35108.20011,6.26066185100
10/4/2014,179326.49020,183278.50240,-2.20380837000
10/4/2015,114067.07710,113653.97360,0.36215839900
10/4/2016,104689.42790,113609.30430,-8.52032204100
10/5/2014,431695.70920,465253.81570,-7.77355572100
10/5/2015,166536.00030,179243.05180,-7.63021297300
10/5/2016,42723.52446,37112.98506,13.13220168700
10/6/2014,188334.52120,195254.78100,-3.67445105400
10/6/2015,71199.58840,68669.39496,3.55366301500
10/6/2016,252458.26220,261502.38180,-3.58242171200
10/7/2014,103998.55970,101270.97110,2.62271766800
10/7/2015,125983.15180,127884.58720,-1.50927752900
10/7/2016,39809.55909,34091.56966,14.36335784800
10/8/2014,195866.77300,203331.43480,-3.81109143000
10/8/2015,69968.07770,72665.72553,-3.85554086800
10/8/2016,146811.45510,155135.62910,-5.66997581600
10/9/2014,78736.40284,77071.54271,2.11447319100
10/9/2015,48406.78715,45316.54273,6.38390730300
10/9/2016,85070.23489,76591.85292,9.96633191500
11/1/2014,146571.48240,143179.67000,2.31410117700
11/1/2015,69597.36735,71051.36350,-2.08915395100
11/1/2016,121373.06820,112550.43230,7.26902271700
11/10/2014,138038.23980,131192.31680,4.95943950700
11/10/2015,57413.41048,55617.58464,3.12788567200
11/10/2016,36113.93487,31885.28845,11.70918216300
11/11/2014,56303.36657,54996.86661,2.32046508000
11/11/2015,147893.94150,161665.60060,-9.31184804500
11/11/2016,160938.60160,152555.41730,5.20893323100
11/12/2014,158603.35700,171692.99360,-8.25306402600
11/12/2015,229672.25630,237672.01640,-3.48311991600
11/2/2014,135498.74640,139824.16160,-3.19221787300
11/2/2015,162162.10350,173661.82780,-7.09149921700
11/2/2016,64034.94046,55491.33853,13.34209397000
11/3/2014,187143.01810,191499.04280,-2.32764478400
11/3/2015,57063.98412,56638.28137,0.74600951300
11/3/2016,77997.04501,73051.67554,6.34045747400
11/4/2014,318949.81710,326322.52600,-2.31155765100
11/4/2015,126507.80090,126043.76920,0.36680085900
11/4/2016,131170.59690,142022.81260,-8.27336000300
11/5/2014,200407.27710,215907.82490,-7.73452342900
11/5/2015,198442.91270,213676.42840,-7.67652293200
11/5/2016,35014.39948,30393.74012,13.19645468300
11/6/2014,174324.99480,180978.60100,-3.81678267500
11/6/2015,68988.34667,66539.16520,3.55013794100
11/6/2016,293917.85250,311853.52050,-6.10227240300
11/7/2014,134018.08930,130633.26270,2.52564905100
11/7/2015,142378.18400,143924.56510,-1.08610817800
11/7/2016,45839.23877,39231.19537,14.41569183400
11/8/2014,232347.35320,241134.52780,-3.78191293300
11/8/2015,60187.14905,62538.49328,-3.90672139700
11/8/2016,99867.32962,103826.70140,-3.96463167200
11/9/2014,70875.11067,69489.36085,1.95519951500
11/9/2015,85940.02694,81559.84562,5.09678839500
11/9/2016,48831.66611,44014.23202,9.86538955900
12/1/2014,95422.37298,93126.14724,2.40638088100
12/1/2015,84738.29441,86467.53775,-2.04068697900
12/1/2016,99445.55710,92226.51810,7.25928760500
12/10/2014,61037.56223,57992.34151,4.98909296000
12/10/2015,57749.13694,55933.00858,3.14485801200
12/10/2016,31023.35977,27817.64247,10.33323703100
12/11/2014,49436.81586,48289.89228,2.31997866400
12/11/2015,140238.39050,153481.45340,-9.44325077700
12/11/2016,164998.84460,156263.14950,5.29439774000
12/12/2014,279092.09600,301236.10990,-7.93430348500
12/12/2015,333488.79790,359621.07490,-7.83602842600
12/2/2014,163432.84520,166893.36890,-2.11739794200
12/2/2015,138520.12680,147756.34280,-6.66777905400
12/2/2016,148839.97490,129583.49210,12.93770898100
12/3/2014,191700.38910,197153.42400,-2.84456120600
12/3/2015,48008.48284,47681.67208,0.68073544600
12/3/2016,79752.28268,74962.81640,6.00542845800
12/4/2014,375031.10930,383727.19400,-2.31876356000
12/4/2015,79648.62939,79349.40245,0.37568372800
12/4/2016,123179.48940,132714.96020,-7.74111895300
12/5/2014,183413.70830,197835.49510,-7.86298196200
12/5/2015,193182.15060,208039.17340,-7.69068092200
12/5/2016,27210.40663,23570.15916,13.37814432400
