DATE,SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE
1/1/2014,86782.46773,2678,32.40570116878
1/1/2015,112161.41960,2905,38.60978299484
1/1/2016,111650.23980,3179,35.12118269896
1/10/2014,594438.28080,18330,32.42980255319
1/10/2015,402312.33320,12065,33.34540681310
1/10/2016,208489.09030,5632,37.01865949929
1/11/2014,247453.10220,6730,36.76866303120
1/11/2015,274814.77810,7459,36.84338089556
1/11/2016,126954.17020,2971,42.73112426792
1/12/2014,105100.66760,2492,42.17522776886
1/12/2015,262394.78000,7474,35.10767728124
1/2/2014,181209.12850,5304,34.16461698718
1/2/2015,171469.93050,4165,41.16925102041
1/2/2016,339004.33690,10153,33.38957321974
1/3/2014,846678.38820,26410,32.05900750473
1/3/2015,256701.54270,6803,37.73357970013
1/3/2016,180828.67410,4719,38.31927825811
1/4/2014,244535.20520,7155,34.17682812020
1/4/2015,498894.34390,13207,37.77499385932
1/4/2016,232410.19800,6282,36.99621107927
1/5/2014,180294.26870,5124,35.18623510929
1/5/2015,499703.41470,12937,38.62591131638
1/5/2016,354856.04490,10388,34.16018915094
1/6/2014,456017.46310,14188,32.14106731745
1/6/2015,440905.99870,11688,37.72296361225
1/6/2016,368789.57260,10761,34.27093881610
1/7/2014,180183.03140,5143,35.03461625510
1/7/2015,305231.90810,8086,37.74819541182
1/7/2016,479010.15670,14344,33.39446156581
1/8/2014,611894.67320,18867,32.43200684794
1/8/2015,173306.90650,4453,38.91913462834
1/8/2016,65133.96620,1548,42.07620555556
1/9/2014,594953.63490,19366,30.72155503976
1/9/2015,384806.77160,11257,34.18377645909
1/9/2016,313491.73510,9183,34.13827018404
10/1/2014,144829.95670,4246,34.10974015544
10/1/2015,120807.57420,2934,41.17504233129
10/1/2016,90773.65306,2207,41.12988357952
10/10/2014,179841.43180,4891,36.76986951544
10/10/2015,119755.01160,3037,39.43200908792
10/10/2016,50934.98319,1263,40.32856942993
10/11/2014,76103.29152,2016,37.74964857143
10/11/2015,131436.19790,3744,35.10582208868
10/11/2016,71529.16264,1666,42.93467145258
10/12/2014,161844.80940,4095,39.52254197802
10/12/2015,133183.69370,3610,36.89298994460
10/2/2014,147727.51620,4552,32.45332078207
10/2/2015,138667.41590,3677,37.71210658145
10/2/2016,76661.25003,1825,42.00616440000
10/3/2014,286230.67890,8932,32.04553055307
10/3/2015,62499.79917,1518,41.17246322134
10/3/2016,37453.00618,892,41.98767508969
10/4/2014,179326.49020,5380,33.33206137546
10/4/2015,114067.07710,2770,41.17945021661
10/4/2016,104689.42790,2958,35.39196345504
10/5/2014,431695.70920,13306,32.44368774989
10/5/2015,166536.00030,4410,37.76326537415
10/5/2016,42723.52446,1016,42.05071305118
10/6/2014,188334.52120,5857,32.15545863070
10/6/2015,71199.58840,1694,42.03045360094
10/6/2016,252458.26220,7190,35.11241477051
10/7/2014,103998.55970,2968,35.03994599057
10/7/2015,125983.15180,3195,39.43134641628
10/7/2016,39809.55909,946,42.08198635307
10/8/2014,195866.77300,6032,32.47128199602
10/8/2015,69968.07770,1812,38.61372941501
10/8/2016,146811.45510,4282,34.28572048108
10/9/2014,78736.40284,2247,35.04067772141
10/9/2015,48406.78715,1232,39.29122333604
10/9/2016,85070.23489,2108,40.35589890417
11/1/2014,146571.48240,4297,34.11018906214
11/1/2015,69597.36735,1690,41.18187417160
11/1/2016,121373.06820,2949,41.15736459817
11/10/2014,138038.23980,3758,36.73183602980
11/10/2015,57413.41048,1456,39.43228741758
11/10/2016,36113.93487,896,40.30573088170
11/11/2014,56303.36657,1497,37.61079931196
11/11/2015,147893.94150,4216,35.07920813567
11/11/2016,160938.60160,3748,42.93986168623
11/12/2014,158603.35700,4157,38.15332138561
11/12/2015,229672.25630,6227,36.88329152080
11/2/2014,135498.74640,4172,32.47812713327
11/2/2015,162162.10350,4299,37.72088939288
11/2/2016,64034.94046,1525,41.99012489180
11/3/2014,187143.01810,5737,32.62036222765
11/3/2015,57063.98412,1386,41.17170571429
11/3/2016,77997.04501,1855,42.04692453369
11/4/2014,318949.81710,9573,33.31764515826
11/4/2015,126507.80090,3072,41.18092477214
11/4/2016,131170.59690,3713,35.32738941557
11/5/2014,200407.27710,6173,32.46513479670
11/5/2015,198442.91270,5257,37.74831894617
11/5/2016,35014.39948,832,42.08461475962
11/6/2014,174324.99480,5429,32.10996404494
11/6/2015,68988.34667,1642,42.01482744823
11/6/2016,293917.85250,8577,34.26814183281
11/7/2014,134018.08930,3825,35.03740896732
11/7/2015,142378.18400,3595,39.60450180807
11/7/2016,45839.23877,1090,42.05434749541
11/8/2014,232347.35320,7158,32.45981464096
11/8/2015,60187.14905,1563,38.50745300704
11/8/2016,99867.32962,2867,34.83339017091
11/9/2014,70875.11067,2023,35.03465678201
11/9/2015,85940.02694,2194,39.17047718323
11/9/2016,48831.66611,1211,40.32342370768
12/1/2014,95422.37298,2796,34.12817345494
12/1/2015,84738.29441,2058,41.17507017007
12/1/2016,99445.55710,2417,41.14421063302
12/10/2014,61037.56223,1661,36.74747876580
12/10/2015,57749.13694,1465,39.41920610239
12/10/2016,31023.35977,768,40.39499970052
12/11/2014,49436.81586,1314,37.62314753425
12/11/2015,140238.39050,4000,35.05959762500
12/11/2016,164998.84460,3843,42.93490621910
12/12/2014,279092.09600,7259,38.44773329660
12/12/2015,333488.79790,9422,35.39469304819
12/2/2014,163432.84520,5037,32.44646519754
12/2/2015,138520.12680,3674,37.70281077844
12/2/2016,148839.97490,3542,42.02144971767
12/3/2014,191700.38910,5903,32.47507862104
12/3/2015,48008.48284,1166,41.17365595197
12/3/2016,79752.28268,1897,42.04126656827
12/4/2014,375031.10930,11250,33.33609860444
12/4/2015,79648.62939,1934,41.18336576525
12/4/2016,123179.48940,3504,35.15396386986
12/5/2014,183413.70830,5653,32.44537560587
12/5/2015,193182.15060,5118,37.74563317702
12/5/2016,27210.40663,647,42.05626990726
12/6/2014,200271.56430,6232,32.13600197368
12/6/2015,155156.87920,3690,42.04793474255
12/6/2016,138350.12180,3943,35.08752772001
12/7/2014,99277.29950,2833,35.04316960819
12/7/2015,57427.68071,1467,39.14633995228
